ratio,precision,recall,f1,accuracy,coverage
0.600000,1.000000,0.257463,0.409496,0.257463,0.257463
0.621053,1.000000,0.268657,0.423529,0.268657,0.268657
0.642105,1.000000,0.279851,0.437318,0.279851,0.279851
0.663158,1.000000,0.305970,0.468571,0.305970,0.305970
0.684211,1.000000,0.350746,0.519337,0.350746,0.350746
0.705263,1.000000,0.373134,0.543478,0.373134,0.373134
0.726316,1.000000,0.399254,0.570667,0.399254,0.399254
0.747368,1.000000,0.432836,0.604167,0.432836,0.432836
0.768421,1.000000,0.485075,0.653266,0.485075,0.485075
0.789474,1.000000,0.511194,0.676543,0.511194,0.511194
0.810526,1.000000,0.526119,0.689487,0.526119,0.526119
0.831579,1.000000,0.563433,0.720764,0.563433,0.563433
0.852632,1.000000,0.597015,0.747664,0.597015,0.597015
0.873684,1.000000,0.608209,0.756381,0.608209,0.608209
0.894737,0.982955,0.645522,0.779279,0.645522,0.656716
0.915789,0.983516,0.667910,0.795556,0.667910,0.679104
0.936842,0.940299,0.705224,0.805970,0.705224,0.750000
0.957895,0.934884,0.750000,0.832298,0.750000,0.802239
0.978947,0.896694,0.809701,0.850980,0.809701,0.902985
1.000000,0.884328,0.884328,0.884328,0.884328,1.000000
