ratio,precision,recall,f1,accuracy,coverage
0.600000,1.000000,0.033582,0.064982,0.033582,0.033582
0.621053,1.000000,0.044776,0.085714,0.044776,0.044776
0.642105,1.000000,0.048507,0.092527,0.048507,0.048507
0.663158,1.000000,0.078358,0.145329,0.078358,0.078358
0.684211,1.000000,0.100746,0.183051,0.100746,0.100746
0.705263,1.000000,0.134328,0.236842,0.134328,0.134328
0.726316,1.000000,0.152985,0.265372,0.152985,0.152985
0.747368,1.000000,0.182836,0.309148,0.182836,0.182836
0.768421,1.000000,0.235075,0.380665,0.235075,0.235075
0.789474,1.000000,0.276119,0.432749,0.276119,0.276119
0.810526,1.000000,0.309701,0.472934,0.309701,0.309701
0.831579,1.000000,0.358209,0.527473,0.358209,0.358209
0.852632,1.000000,0.395522,0.566845,0.395522,0.395522
0.873684,1.000000,0.466418,0.636132,0.466418,0.466418
0.894737,1.000000,0.522388,0.686275,0.522388,0.522388
0.915789,0.993421,0.563433,0.719048,0.563433,0.567164
0.936842,0.988024,0.615672,0.758621,0.615672,0.623134
0.957895,0.972826,0.667910,0.792035,0.667910,0.686567
0.978947,0.919811,0.727612,0.812500,0.727612,0.791045
1.000000,0.843284,0.843284,0.843284,0.843284,1.000000
