ratio,precision,recall,f1,accuracy,coverage
0.600000,1.000000,0.037313,0.071942,0.037313,0.037313
0.621053,1.000000,0.048507,0.092527,0.048507,0.048507
0.642105,1.000000,0.063433,0.119298,0.063433,0.063433
0.663158,1.000000,0.093284,0.170648,0.093284,0.093284
0.684211,1.000000,0.115672,0.207358,0.115672,0.115672
0.705263,1.000000,0.141791,0.248366,0.141791,0.141791
0.726316,1.000000,0.171642,0.292994,0.171642,0.171642
0.747368,1.000000,0.197761,0.330218,0.197761,0.197761
0.768421,1.000000,0.242537,0.390390,0.242537,0.242537
0.789474,1.000000,0.268657,0.423529,0.268657,0.268657
0.810526,1.000000,0.324627,0.490141,0.324627,0.324627
0.831579,1.000000,0.365672,0.535519,0.365672,0.365672
0.852632,1.000000,0.406716,0.578249,0.406716,0.406716
0.873684,1.000000,0.470149,0.639594,0.470149,0.470149
0.894737,1.000000,0.514925,0.679803,0.514925,0.514925
0.915789,0.980519,0.563433,0.715640,0.563433,0.574627
0.936842,0.971098,0.626866,0.761905,0.626866,0.645522
0.957895,0.952128,0.667910,0.785088,0.667910,0.701493
0.978947,0.906977,0.727612,0.807453,0.727612,0.802239
1.000000,0.839552,0.839552,0.839552,0.839552,1.000000
